ts,lat,lng,dt_s,dist_m,implied_speed_kmh,is_stale,stale_run,real_gap_s
1773218922000,64.0769066666667,-21.9367333333333,0.0,0.0,0.0,true,1,0
1773218928000,64.076905,-21.9367333333333,6.0,0.2,0.1,true,2,0
1773218930000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,3,0
1773218934000,64.076905,-21.9367333333333,4.0,0.0,0.0,true,4,0
1773218934000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,5,0
1773218936000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,6,0
1773218939000,64.076905,-21.9367333333333,3.0,0.0,0.0,true,7,0
1773218941000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,8,0
1773218941000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,9,0
1773218943000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,10,0
1773218947000,64.076905,-21.9367333333333,4.0,0.0,0.0,true,11,0
1773218949000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,12,0
1773218949000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,13,0
1773218951000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,14,0
1773218954000,64.076905,-21.9367333333333,3.0,0.0,0.0,true,15,0
1773218954000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,16,0
1773218956000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,17,0
1773218959000,64.076905,-21.9367333333333,3.0,0.0,0.0,true,18,0
1773218959000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,19,0
1773218961000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,20,0
1773218965000,64.076905,-21.9367333333333,4.0,0.0,0.0,true,21,0
1773218965000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,22,0
1773218969000,64.076905,-21.9367333333333,4.0,0.0,0.0,true,23,0
1773218973000,64.076905,-21.9367333333333,4.0,0.0,0.0,true,24,0
1773218973000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,25,0
1773218975000,64.076905,-21.9367333333333,2.0,0.0,0.0,true,26,0
1773218978000,64.076905,-21.9367333333333,3.0,0.0,0.0,true,27,0
1773218978000,64.076905,-21.9367333333333,0.0,0.0,0.0,true,28,0
