ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773237677000,64.06624,-21.9376166666667,35.67,26.54,25.22,false,false,47.71,5.00,34.35,0
1773237682000,64.0657283333333,-21.9377166666667,42.63,30.63,29.10,false,false,58.51,5.00,42.13,0
1773237687000,64.0651783333333,-21.9378666666667,44.96,36.90,35.06,false,false,62.23,5.00,44.80,0
1773237692000,64.0646083333333,-21.9380333333333,46.16,38.10,36.19,false,false,64.00,5.00,46.08,0
1773237695000,64.0640366666667,-21.9381666666667,65.95,46.43,44.11,false,false,63.90,3.00,76.68,0
1773237697000,64.0640366666667,-21.9381666666667,43.05,0.00,44.11,true,false,4.36,2.00,7.85,1
1773237700000,64.06346,-21.93835,57.89,50.82,48.28,false,false,55.57,3.00,66.68,0
1773237702000,64.06346,-21.93835,38.42,0.00,48.28,true,false,4.10,2.00,7.38,1
1773237707000,64.06287,-21.9385666666667,42.28,42.28,40.16,false,false,58.16,5.00,41.87,0
1773237712000,64.0622516666667,-21.9387833333333,50.87,42.51,40.38,false,false,69.86,5.00,50.30,0
1773237717000,64.0616133333333,-21.9390166666667,52.35,49.07,46.62,false,false,72.57,5.00,52.25,0
1773237720000,64.0609716666667,-21.9394333333333,76.04,50.70,48.16,false,false,74.19,3.00,89.03,0
1773237725000,64.06027,-21.94035,68.05,57.57,54.69,false,false,95.07,5.00,68.45,0
1773237727000,64.06027,-21.94035,39.93,0.00,54.69,true,false,2.24,2.00,4.04,1
1773237732000,64.0598033333333,-21.9414166666667,46.65,46.65,44.32,false,false,63.75,5.00,45.90,0
1773237737000,64.0594666666667,-21.9427333333333,54.72,53.90,51.20,false,false,75.16,5.00,54.11,0
1773237742000,64.05925,-21.94425,56.78,49.51,47.03,false,false,78.56,5.00,56.56,0
1773237747000,64.0590916666667,-21.9458333333333,57.15,48.63,46.19,false,false,79.32,5.00,57.11,0
1773237751000,64.0589183333333,-21.9475,72.70,56.83,53.99,false,false,83.30,4.00,74.97,0
1773237756000,64.058695,-21.9492166666667,63.62,59.84,56.85,false,false,89.24,5.00,64.25,0
1773237758000,64.058695,-21.9492166666667,36.91,0.00,56.85,true,false,0.98,2.00,1.77,1
1773237763000,64.05835,-21.95095,62.26,58.44,55.52,false,false,83.17,5.00,59.88,0
1773237768000,64.057995,-21.9527833333333,72.76,61.61,58.53,false,false,100.08,5.00,72.05,0
1773237776000,64.0572566666667,-21.9565666666667,0.00,0.00,0.00,false,false,101.65,5.00,73.19,0
1773237783000,64.0569083333333,-21.9585833333333,47.25,47.25,44.89,false,false,106.32,7.00,54.68,0
1773237786000,64.05661,-21.9605333333333,94.75,73.82,70.13,false,false,99.19,3.00,119.02,0
1773237788000,64.05661,-21.9605333333333,64.04,0.00,70.13,true,false,9.92,2.00,17.85,1
1773237792000,64.0563266666667,-21.9625,78.06,69.97,66.47,false,false,88.82,4.00,79.93,0
1773237798000,64.0560883333333,-21.9642833333333,50.15,50.15,47.64,false,false,92.98,6.00,55.79,0
1773237801000,64.055895,-21.9655333333333,66.43,66.43,63.11,false,false,62.58,3.00,75.10,0
1773237805000,64.0558616666667,-21.96635,42.25,42.25,40.14,false,false,43.19,4.00,38.87,0
1773237808000,64.0558616666667,-21.96635,12.59,0.00,40.14,true,false,3.92,3.00,4.71,1
1773237813000,64.0560616666667,-21.9666833333333,19.59,19.59,18.61,false,false,25.41,5.00,18.29,0
1773237818000,64.0563033333333,-21.96645,23.02,19.45,18.48,false,false,31.18,5.00,22.45,0
1773237823000,64.056335,-21.96585,23.00,8.39,7.97,false,false,30.88,5.00,22.23,0
1773237828000,64.0561516666667,-21.9655,21.22,8.21,7.80,false,false,28.71,5.00,20.67,0
1773237833000,64.0558383333333,-21.9654833333333,26.96,6.08,5.78,false,false,36.51,5.00,26.29,0
1773237835000,64.0554433333333,-21.9656,49.28,14.18,13.47,false,false,45.28,2.00,81.51,0
1773237838000,64.0554433333333,-21.9656,23.93,0.00,13.47,true,false,7.96,3.00,9.55,1
1773237843000,64.0550083333333,-21.9659833333333,33.65,26.58,25.25,false,false,45.49,5.00,32.75,0
1773237848000,64.0546883333333,-21.9664666666667,31.41,30.49,28.96,false,false,43.78,5.00,31.52,0
1773237853000,64.0546066666667,-21.9669666666667,18.39,18.39,17.47,false,false,26.14,5.00,18.82,0
1773237858000,64.05439,-21.96725,19.14,19.14,18.18,false,false,26.03,5.00,18.74,0
1773237861000,64.054075,-21.9677166666667,39.56,28.76,27.32,false,false,42.20,3.00,50.64,0
1773237863000,64.054075,-21.9677166666667,27.16,0.00,27.32,true,false,4.50,2.00,8.09,1
1773237868000,64.0538333333333,-21.9683166666667,25.12,23.56,22.39,false,false,34.95,5.00,25.17,0
1773237873000,64.0536783333333,-21.9689666666667,26.11,25.53,24.26,false,false,36.13,5.00,26.01,0
1773237878000,64.053625,-21.9695,18.90,18.90,17.96,false,false,26.84,5.00,19.33,0
1773237881000,64.0536616666667,-21.9699666666667,23.97,21.37,20.30,false,false,22.75,3.00,27.29,0
1773237885000,64.0536616666667,-21.9699666666667,4.18,0.00,20.30,true,false,1.75,4.00,1.58,1
1773237888000,64.0535133333333,-21.97035,18.14,18.14,17.23,false,false,22.79,3.00,27.35,0
1773237891000,64.0534116666667,-21.9707833333333,27.38,18.64,17.71,false,false,27.39,3.00,32.87,0
1773237893000,64.0534116666667,-21.9707833333333,18.40,0.00,17.71,true,false,2.43,2.00,4.37,1
1773237898000,64.05336,-21.9711333333333,9.66,9.66,9.18,false,false,14.49,5.00,10.43,0
1773237901000,64.0533233333333,-21.9714333333333,14.47,14.47,13.75,false,false,14.29,3.00,17.15,0
1773237903000,64.0533233333333,-21.9714333333333,9.57,0.00,13.75,true,false,1.09,2.00,1.95,1
1773237908000,64.0532733333333,-21.9717333333333,9.89,9.89,9.39,false,false,13.67,5.00,9.84,0
1773237910000,64.0532733333333,-21.9717333333333,5.91,0.00,9.39,true,false,0.20,2.00,0.36,1
1773237913000,64.0532066666667,-21.9721333333333,16.90,12.37,11.75,false,false,19.37,3.00,23.24,0
1773237918000,64.0531016666667,-21.9728333333333,29.01,15.34,14.57,false,false,38.86,5.00,27.98,0
1773237921000,64.0529866666667,-21.9735833333333,41.16,22.22,21.11,false,false,39.87,3.00,47.85,0
1773237924000,64.0529866666667,-21.9735833333333,17.11,0.00,21.11,true,false,2.71,3.00,3.25,1
1773237929000,64.0529766666667,-21.9741166666667,14.55,14.55,13.82,false,false,20.35,5.00,14.65,0
1773237937000,64.05277,-21.9745,16.33,16.33,15.52,false,false,28.91,8.00,13.01,0
1773237939000,64.0526933333333,-21.9743,16.45,14.50,13.77,false,false,13.50,2.00,24.30,0
1773237942000,64.0526933333333,-21.9743,7.03,0.00,13.77,true,false,3.33,3.00,3.99,1
1773237944000,64.0525466666667,-21.9740333333333,17.44,9.65,9.17,false,false,18.88,2.00,33.98,0
1773237946000,64.0525466666667,-21.9740333333333,13.81,0.00,9.17,true,false,4.29,2.00,7.73,1
1773237950000,64.05235,-21.9738666666667,18.76,15.49,14.72,false,false,21.68,4.00,19.52,0
1773237952000,64.05235,-21.9738666666667,12.05,0.00,14.72,true,false,1.37,2.00,2.46,1
1773237954000,64.052255,-21.9735166666667,18.31,18.31,17.39,false,false,17.88,2.00,32.19,0
1773237958000,64.052255,-21.9735166666667,5.24,0.00,17.39,true,false,4.28,4.00,3.85,1
1773237963000,64.052305,-21.9731666666667,13.12,10.59,10.06,false,false,17.25,5.00,12.42,0
1773237965000,64.0523816666667,-21.9729166666667,19.35,11.13,10.57,false,false,15.82,2.00,28.48,0
1773237967000,64.0523816666667,-21.9729166666667,13.37,0.00,10.57,true,false,2.28,2.00,4.11,1
1773237973000,64.0526016666667,-21.97295,17.14,8.98,8.53,false,false,23.49,6.00,14.09,0
1773237975000,64.0526016666667,-21.97295,10.94,0.00,8.53,true,false,1.41,2.00,2.53,1
1773237980000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,1.05,5.00,0.76,2
1773237987000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,1.32,7.00,0.68,3
1773237992000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.04,5.00,0.03,4
1773237994000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.01,5
1773237998000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,6
1773238005000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,7.00,0.00,7
1773238007000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,8
1773238009000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,9
1773238013000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,10
1773238015000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,11
1773238018000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,12
1773238022000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,13
1773238024000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,14
1773238027000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,15
1773238030000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,16
1773238037000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,7.00,0.00,17
1773238042000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,5.00,0.00,18
1773238044000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,19
1773238047000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,20
1773238054000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,7.00,0.00,21
1773238057000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,22
1773238059000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,23
1773238062000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,24
1773238064000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,25
1773238067000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,26
1773238069000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,27
1773238072000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,28
1773238074000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,29
1773238078000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,30
1773238081000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,31
1773238083000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,32
1773238086000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,33
1773238088000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,34
1773238090000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,35
1773238093000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,36
1773238099000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,6.00,0.00,37
1773238101000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,38
1773238104000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,39
1773238107000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,40
1773238111000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,41
1773238114000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,42
1773238116000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,43
1773238119000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,44
1773238124000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,5.00,0.00,45
1773238126000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,46
1773238129000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,47
1773238132000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,48
1773238136000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,49
1773238138000,64.0526116666667,-21.9729666666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,50
