ts,lat,lng,raw_speed,smooth_speed
1773218922000,64.13952205,-21.8181651666667,0.00,42.42
1773218928000,64.1383719833333,-21.8165951666667,89.30,41.34
1773218949000,64.1369645833333,-21.8128256666667,41.26,45.66
1773218978000,64.1369029333333,-21.8105653333333,13.64,20.28
1773219049000,64.1364749,-21.8069765,9.15,16.25
1773219081000,64.135682,-21.8020761666667,28.52,20.68
1773219110000,64.1347526166667,-21.7980143333333,27.62,22.92
1773219163000,64.1353203166667,-21.7932593333333,16.24,21.06
1773219208000,64.1376806,-21.7910825,22.63,22.99
1773219228000,64.1391780833333,-21.7893108333333,33.73,28.57
1773219252000,64.1393053333333,-21.7846658333333,33.86,34.99
1773219270000,64.1396335333333,-21.7803085,42.89,33.99
1773219294000,64.1386535833333,-21.7767566666667,30.58,40.07
1773219303000,64.1382090166667,-21.774218,53.07,29.90
1773219359000,64.1394155,-21.7721446666667,10.78,38.29
1773219398000,64.1449085,-21.7741166666667,57.07,26.35
1773219451000,64.1463813333333,-21.7708988333333,15.36,27.83
1773219522000,64.1442230166667,-21.7747813333333,15.47,9.91
1773232395000,64.1402930666667,-21.806733,0.45,8.57
1773232515000,64.14363735,-21.8069923333333,11.16,7.04
1773232524000,64.1434631333333,-21.8073658333333,10.61,7.18
1773232646000,64.143245,-21.8069915,0.89,3.65
1773232766000,64.1432413666667,-21.8070001666667,0.02,0.94
1773232991000,64.14438255,-21.8066455,2.05,7.86
1773233110000,64.1376505833333,-21.8082441666667,22.77,12.19
1773233133000,64.13843555,-21.8081648333333,13.68,20.45
1773233160000,64.1396257333333,-21.8115516666667,28.13,21.15
1773233199000,64.14070875,-21.8165541666667,25.00,24.89
1773233221000,64.1395053666667,-21.8181963333333,25.48,24.28
1773233241000,64.1384002,-21.816592,26.18,24.87
1773233273000,64.13701305,-21.8128341666667,26.86,24.35
1773233289000,64.1369015166667,-21.8106635,23.85,20.96
1773233331000,64.13653105,-21.8070383333333,15.48,20.05
1773233370000,64.1357138166667,-21.802019,23.99,21.36
1773233399000,64.13477615,-21.797901,27.97,22.95
1773233440000,64.1353001,-21.793238,20.51,22.25
1773233488000,64.1377253666667,-21.7910268333333,21.77,24.76
1773233506000,64.13915805,-21.7893155,35.93,28.17
1773233532000,64.13934525,-21.7846821666667,31.25,28.59
1773233564000,64.1396616833333,-21.780512,23.10,26.87
1773233589000,64.1386969833333,-21.7767451666667,30.51,23.59
1773233612000,64.1382376833333,-21.7742046666667,20.88,22.98
1773233639000,64.1392771666667,-21.7719606666667,21.17,27.59
1773233690000,64.1449423833333,-21.7741043333333,45.07,25.97
1773233740000,64.1463178166667,-21.7708696666667,15.77,21.35
1773233862000,64.1449643333333,-21.7742575,6.57,13.87
1773233876000,64.1442453333333,-21.7747478333333,21.45,26.18
1773233911000,64.1395802333333,-21.7723775,54.65,27.28
1773233971000,64.1382466166667,-21.7739918333333,10.06,34.33
1773233982000,64.13863065,-21.7765991666667,43.68,27.94
1773234007000,64.1396737,-21.78092,34.49,39.13
1773234021000,64.13937945,-21.784496,45.39,36.21
1773234046000,64.1393010333333,-21.7894283333333,34.47,35.91
1773234065000,64.1378354833333,-21.7908576666667,33.55,32.32
1773234093000,64.1356836166667,-21.7931895,34.03,29.98
1773234126000,64.13477805,-21.7978676666667,27.08,30.05
1773234150000,64.13570435,-21.8019973333333,33.79,30.28
1773234175000,64.13648445,-21.8066385,34.74,26.30
1773234221000,64.1371595166667,-21.8101411666667,14.54,23.99
1773234236000,64.1367668666667,-21.8122288333333,26.47,22.02
1773234267000,64.1383089,-21.8158611666667,28.55,24.70
1773234292000,64.1392584666667,-21.8183298333333,22.99,24.10
1773234312000,64.1403866666667,-21.8172173333333,24.58,21.19
1773234360000,64.1397737333333,-21.8120898333333,19.34,24.57
1773234384000,64.1385252666667,-21.8084538333333,33.67,17.85
1773234456000,64.1382753166667,-21.8071848333333,3.38,30.62
1773234499000,64.1446586666667,-21.8059325,59.64,22.07
1773234583000,64.1434333333333,-21.8074798333333,6.67,21.11
1773234704000,64.1433278833333,-21.8074866666667,0.35,4.07
1773234792000,64.14454905,-21.8066038333333,5.82,10.60
1773234894000,64.1376348666667,-21.8082791666667,27.29,13.55
1773234925000,64.1383774833333,-21.8080515,9.67,22.24
1773234949000,64.1396351666667,-21.8116035,33.28,22.95
1773234983000,64.14069195,-21.8168163333333,29.52,27.78
1773235004000,64.1395227333333,-21.8181565,24.92,26.46
1773235022000,64.1383999833333,-21.8166131666667,29.11,28.18
1773235047000,64.1369882166667,-21.8127956666667,34.96,26.60
1773235066000,64.1368721,-21.8106431666667,19.93,21.32
1773235117000,64.1365451166667,-21.8070908333333,12.43,17.63
1773235158000,64.135703,-21.8019705,23.31,20.13
1773235188000,64.13471465,-21.7977611666667,27.83,21.69
1773235236000,64.1353343666667,-21.793205,17.36,24.92
1773235266000,64.1376758833333,-21.7911188333333,33.52,27.13
1773235285000,64.1391307833333,-21.7893261666667,34.80,31.41
1773235311000,64.1393457666667,-21.7847566666667,30.86,32.53
1773235331000,64.1396550333333,-21.780571,37.06,33.13
1773235352000,64.1387055833333,-21.7767303333333,36.71,32.47
1773235369000,64.1382405166667,-21.7741413333333,28.76,24.11
1773235423000,64.1393247,-21.7719686666667,10.67,28.17
1773235469000,64.1449383,-21.7740921666667,49.51,24.74
1773235514000,64.14638755,-21.7708735,17.95,22.77
1773235635000,64.1450659166667,-21.7714675,4.46,12.87
1773235672000,64.1441667,-21.774734,18.23,23.48
1773235708000,64.1396492833333,-21.7724235,51.47,25.82
1773235759000,64.1382764,-21.7738606666667,11.85,25.25
1773235787000,64.13861145,-21.7763818333333,16.44,20.15
1773235813000,64.1396731,-21.7810493333333,35.35,29.12
1773235829000,64.1394085,-21.7846796666667,40.17,32.60
1773235859000,64.1392875833333,-21.7893865,27.44,31.18
1773235879000,64.1378767,-21.7908141666667,30.87,29.10
1773235907000,64.1357645166667,-21.7931725,33.59,26.00
1773235958000,64.1347592333333,-21.7977848333333,17.65,22.81
1773235997000,64.1356979666667,-21.8018985,20.79,24.69
1773236020000,64.1365051166667,-21.8067643333333,39.52,22.16
1773236086000,64.13720195,-21.810056,9.68,19.37
1773236122000,64.1367618833333,-21.812304,11.95,17.53
1773236149000,64.1383434,-21.8160503333333,33.72,23.46
